Model,R2 Score(train),R2 Score(Val),MAE,RMSE,Description
Mode 1,0.7710228632896604,0.8355133030657147,23307.513958846852,31779.74806356509,Baseline
Model 2,0.8867129654699211,0.8529799309861664,21157.810887196636,31094.15824071886,Poly
Model 3,0.7778086795034993,0.8076673494351607,25021.05668134548,35564.52409762159,Dropped Full Bath and Half Bath
Model 4,0.7802987510399881,0.8112779273901385,24684.392808629553,35229.12381743655,StandardScaled
Model 5,0.8852892636430834,0.8718259401822782,19836.248501086942,28053.37585862284,Poly and SC
Model 6,0.8809830724233384,0.8771146218589849,19523.526617765892,27468.5139892831,RidgeCv
